brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,warranty,Price,rating,Number of Ratings,Number of Reviews,Touchscreen_Yes,msoffice_Yes,weight_Casual,weight_Gaming,weight_ThinNlight
1,1,2,5,2,1,3,0,4,0,1,65990,2,0,0,0,0,1,0,0
7,0,8,5,0,1,3,0,4,0,1,44990,3,313,39,0,0,1,0,0
1,0,9,5,0,1,3,0,1,2,0,72400,2,0,0,0,0,1,0,0
1,1,2,4,1,1,0,2,4,1,0,83990,2,0,0,0,0,1,0,0
1,1,2,5,1,5,3,0,1,0,1,72990,3,76,14,0,1,1,0,0
1,1,2,4,1,3,3,0,4,0,0,84990,2,0,0,0,0,1,0,0
3,1,1,4,0,1,2,0,4,0,1,39990,3,44,2,0,0,0,0,1
1,1,1,4,0,1,0,2,1,0,0,35590,2,12,1,0,0,0,0,1
1,1,2,5,1,1,3,0,4,3,1,88990,2,0,0,0,0,1,0,0
5,1,2,4,1,1,3,0,4,0,1,49990,2,0,0,0,0,0,0,1
3,0,7,5,1,1,0,2,4,0,1,35990,3,59,12,0,1,0,0,1
3,1,2,5,1,1,3,0,4,0,1,77990,3,31,5,1,1,1,0,0
7,1,2,4,1,4,0,1,0,0,0,94190,3,31,6,0,0,1,0,0
1,1,2,3,1,1,2,2,4,2,0,54490,3,343,47,0,0,0,1,0
6,1,2,4,1,4,0,1,0,2,0,109590,3,5,2,0,0,1,0,0
3,1,1,5,1,1,0,2,4,0,0,42190,2,250,21,0,0,0,0,1
2,1,2,2,1,1,3,0,4,0,0,44990,2,17,3,0,0,0,0,1
5,1,2,4,1,1,3,0,4,1,1,86999,3,3,0,1,1,1,0,0
1,1,3,5,2,1,3,0,4,2,0,94990,3,118,15,0,0,0,1,0
5,1,1,4,0,1,2,0,4,0,0,36490,2,0,0,0,0,0,0,1
4,1,2,4,1,1,0,2,1,0,1,48790,2,11,1,0,1,1,0,0
0,2,5,4,2,1,4,0,3,0,1,225990,3,42,8,0,0,1,0,0
2,1,2,2,1,1,3,0,4,0,0,73063,2,17,3,0,0,0,0,1
4,1,3,5,2,5,4,0,4,0,1,165000,2,0,0,1,0,1,0,0
6,0,9,5,0,1,3,0,4,0,0,64990,2,0,0,0,0,1,0,0
4,0,8,5,2,1,3,0,4,0,1,67500,3,196,19,0,1,0,0,1
3,1,2,5,1,1,3,0,4,0,1,74500,3,45,5,1,1,1,0,0
4,1,3,5,2,1,4,0,4,2,0,121990,2,0,0,0,0,1,0,0
1,1,1,4,0,1,2,0,4,0,1,35990,2,0,0,0,0,1,0,0
1,1,4,4,2,1,4,0,4,3,1,269990,3,8,1,1,0,1,0,0
5,1,9,5,0,1,3,0,1,2,2,81490,2,0,0,0,1,1,0,0
0,2,5,4,2,1,2,0,3,0,1,104990,3,45,4,0,0,1,0,0
1,1,2,5,2,1,3,0,4,3,1,82990,3,262,31,0,1,1,0,0
4,0,8,5,1,1,3,0,4,2,1,72990,3,16,4,0,1,1,0,0
4,0,8,5,2,1,3,0,4,1,1,63990,3,90,13,0,1,1,0,0
